,"消費者物價基本分類暨項目群指數",
,,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類"
"108年10月",98.75,98.52,104.15,98.50,97.03,99.15,99.97,98.24
"108年11月",98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
"108年12月",98.41,97.76,99.99,98.56,97.27,99.25,99.38,98.61
"109年",98.07,97.61,98.26,99.09,94.27,99.77,98.81,99.61
"109年1月",99.00,97.54,96.87,98.76,98.11,99.46,101.19,101.09
"109年2月",97.94,97.35,94.81,98.76,96.02,99.35,99.02,99.11
"109年3月",97.50,97.12,93.76,98.82,94.02,99.65,98.28,99.28
"109年4月",97.30,97.07,101.59,98.63,90.63,99.64,98.13,99.20
"109年5月",97.20,97.00,99.74,98.63,90.62,99.59,97.92,99.39
"109年6月",97.98,97.46,98.50,99.74,92.81,100.09,98.60,99.71
"109年7月",98.10,97.26,96.66,99.69,94.30,99.94,99.06,99.75
"109年8月",98.25,97.82,95.14,99.76,94.52,100.09,99.21,99.86
"109年9月",98.16,98.36,94.47,99.76,93.99,100.01,98.40,99.80
"109年10月",98.49,98.24,104.17,98.78,94.71,99.75,98.91,99.43
"109年11月",98.44,98.03,102.23,98.83,95.50,99.88,98.54,99.44
"109年12月",98.45,98.07,101.19,98.94,96.04,99.80,98.44,99.30
"110年",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
"110年1月",98.81,98.72,98.83,99.04,97.57,99.93,98.48,99.68
"110年2月",99.29,97.74,96.15,99.38,98.29,99.83,100.92,101.93
"110年3月",98.69,97.62,95.61,99.52,98.55,100.08,98.97,99.73
"110年4月",99.35,97.68,102.98,99.52,99.19,100.04,99.87,100.05
"110年5月",99.58,98.62,102.36,99.57,99.28,99.75,99.59,100.38
"110年6月",99.77,99.58,100.84,99.64,99.97,99.55,99.57,99.92
"110年7月",99.97,99.64,98.64,100.21,100.83,99.77,99.87,99.90
"110年8月",100.55,101.57,97.08,100.99,100.64,100.25,100.30,99.75
"110年9月",100.71,101.84,95.99,101.04,100.76,100.22,101.20,99.70
"110年10月",101.00,102.14,105.09,100.21,101.55,99.90,100.61,99.17
"110年11月",101.24,102.63,103.72,100.41,102.42,100.16,100.13,99.64
"110年12月",101.04,102.23,102.73,100.46,100.95,100.51,100.48,100.15
"111年",102.95,105.66,102.38,102.26,103.46,101.22,101.18,101.37
"111年1月",101.61,102.39,100.13,100.74,102.68,100.32,100.52,102.41
"111年2月",101.60,102.90,98.75,100.76,103.16,100.48,101.50,100.83
"111年3月",101.92,103.37,98.31,101.07,104.39,100.91,100.52,101.36
"111年4月",102.70,104.43,105.89,101.30,104.16,100.92,101.04,101.54
"111年5月",102.96,105.92,105.02,101.57,103.84,100.97,100.60,101.32
"111年6月",103.35,106.85,103.14,102.98,103.52,101.17,100.62,101.17
"111年7月",103.32,106.80,101.65,103.25,103.80,101.40,100.75,100.72
"111年8月",103.24,106.50,100.12,103.48,103.56,101.47,100.60,101.12
"111年9月",103.49,107.23,99.42,103.63,103.01,101.58,101.24,101.54
"111年10月",103.77,107.42,107.05,102.64,103.12,101.84,101.86,101.35
"111年11月",103.62,106.84,105.54,102.76,103.11,101.61,102.18,101.42
"111年12月",103.78,107.27,103.55,102.88,103.14,101.93,102.78,101.69
"112年",105.51,109.92,103.23,104.35,104.26,103.44,104.33,103.84
"112年1月",104.71,107.81,101.11,103.23,103.87,101.98,105.02,105.05
"112年2月",104.06,107.34,99.96,103.22,103.73,102.38,103.60,102.88
"112年3月",104.32,108.41,99.53,103.38,103.56,102.46,103.32,103.03
"112年4月",105.11,108.82,105.16,103.66,104.14,102.77,104.36,103.72
"112年5月",105.04,109.07,104.29,103.74,103.73,102.93,103.63,104.05
"112年6月",105.16,108.33,103.08,105.03,103.86,102.93,104.12,103.95
"112年7月",105.26,108.17,102.78,105.18,104.34,103.88,104.43,103.69
"112年8月",105.85,110.17,101.16,105.32,105.37,103.83,104.32,103.67
"112年9月",106.52,112.36,100.55,105.51,105.36,104.29,104.19,104.30
"112年10月",106.92,113.34,108.80,104.54,104.80,104.44,104.99,103.66
"112年11月",106.62,112.87,106.56,104.66,104.28,104.66,104.70,103.78
"112年12月",106.58,112.33,105.79,104.75,104.08,104.73,105.23,104.32


"註解："
"1.項目群月指數自2013年1月起發布。"
"2.當月該項水果若非屬產季，則指數及年增率欄以「-」列示。"
"3.國外旅遊團費指數自109年4月至111年9月無任何報價，依國際勞工組織(International Labor Organization)之CPI編製手冊規範，該項指數以同月國內旅遊團費之月增率設算編製(110年4月、110年8月至111年1月另納入台灣帛琉旅遊團費之報價)；隨111年10月13日放寬邊境管制，該指數回復採實際報價編算。"
""
